fold,class,bar_resnet50,bar_vgg16,bg_frac,excess_resnet,excess_vgg
1,Pepper__bell___Bacterial_spot,0.3947392404079437,0.3497816324234009,0.629524075255102,-0.23478483484715829,-0.27974244283170113
1,Pepper__bell___Bacterial_spot,0.3465064167976379,0.3039439022541046,0.5087691326530612,-0.16226271585542335,-0.20482523039895661
1,Pepper__bell___Bacterial_spot,0.1896398961544037,0.1672105491161346,0.44551179846938777,-0.2558719023149841,-0.2783012493532532
1,Pepper__bell___Bacterial_spot,0.2700994908809662,0.2777246236801147,0.5701132015306123,-0.3000137106496461,-0.2923885778504976
1,Pepper__bell___Bacterial_spot,0.2026884406805038,0.1619057357311248,0.4894172512755102,-0.28672881059500643,-0.3275115155443854
1,Pepper__bell___Bacterial_spot,0.2482545226812362,0.1710745394229889,0.3885124362244898,-0.14025791354325357,-0.21743789680150089
1,Pepper__bell___Bacterial_spot,0.1305441558361053,0.1119225248694419,0.3959263392857143,-0.265382183449609,-0.2840038144162724
1,Pepper__bell___Bacterial_spot,0.2213021367788314,0.1183080002665519,0.4729153380102041,-0.25161320123137265,-0.35460733774365216
1,Pepper__bell___Bacterial_spot,0.2942877113819122,0.2435146421194076,0.5516581632653061,-0.25737045188339397,-0.30814352114589855
1,Pepper__bell___Bacterial_spot,0.1898417919874191,0.1529489606618881,0.44565130739795916,-0.2558095154105401,-0.2927023467360711
1,Pepper__bell___Bacterial_spot,0.1213792264461517,0.1078275293111801,0.37826849489795916,-0.2568892684518075,-0.27044096558677905
1,Pepper__bell___Bacterial_spot,0.19364795088768,0.1925240308046341,0.4299864477040816,-0.23633849681640162,-0.23746241689944753
1,Pepper__bell___Bacterial_spot,0.2704358696937561,0.1434438973665237,0.5499441964285714,-0.2795083267348153,-0.4065002990620477
1,Pepper__bell___Bacterial_spot,0.1682298630475998,0.1552641838788986,0.47421077806122447,-0.3059809150136247,-0.31894659418232585
1,Pepper__bell___Bacterial_spot,0.3306066989898681,0.292470246553421,0.5095065369897959,-0.17889983799992776,-0.21703629043637485
1,Pepper__bell___Bacterial_spot,0.1920789033174514,0.2355814129114151,0.4580875318877551,-0.2660086285703037,-0.22250611897633998
1,Pepper__bell___Bacterial_spot,0.2100168466567993,0.1442880630493164,0.36543367346938777,-0.15541682681258848,-0.22114561042007136
1,Pepper__bell___Bacterial_spot,0.4063155055046081,0.3703846633434295,0.6519650829081632,-0.24564957740355514,-0.28158041956473373
1,Pepper__bell___Bacterial_spot,0.2873436212539673,0.1377010196447372,0.5324258609693877,-0.24508223971542042,-0.3947248413246505
1,Pepper__bell___Bacterial_spot,0.1756446063518524,0.1641370058059692,0.45033482142857145,-0.2746902150767191,-0.28619781562260227
1,Pepper__bell___Bacterial_spot,0.2594581544399261,0.207297533750534,0.4471859056122449,-0.18772775117231882,-0.23988837186171091
1,Pepper__bell___Bacterial_spot,0.3029780983924866,0.1706696450710296,0.5001395089285714,-0.19716141053608482,-0.3294698638575418
1,Pepper__bell___Bacterial_spot,0.182365283370018,0.152666836977005,0.37794961734693877,-0.19558433397692077,-0.22528278036993377
1,Pepper__bell___Bacterial_spot,0.2131328880786895,0.2020377218723297,0.48180404974489793,-0.2686711616662084,-0.2797663278725682
1,Pepper__bell___Bacterial_spot,0.2327782958745956,0.2331553846597671,0.5085100446428571,-0.2757317487682615,-0.27535465998309
1,Pepper__bell___Bacterial_spot,0.1783230751752853,0.1403113752603531,0.4348294005102041,-0.2565063253349188,-0.294518025249851
1,Pepper__bell___Bacterial_spot,0.2499264776706695,0.2037011384963989,0.5255301339285714,-0.2756036562579019,-0.32182899543217247
