fold,class,bar_resnet50,bar_vgg16
1,Pepper__bell___Bacterial_spot,0.623897135257721,0.6046302914619446
1,Pepper__bell___Bacterial_spot,0.4752456843852997,0.4549242854118347
1,Pepper__bell___Bacterial_spot,0.1864629089832306,0.2332776039838791
1,Pepper__bell___Bacterial_spot,0.21894098818302155,0.23186084628105164
1,Pepper__bell___Bacterial_spot,0.24778755009174347,0.17669324576854706
1,Pepper__bell___Bacterial_spot,0.5031096935272217,0.47251981496810913
1,Pepper__bell___Bacterial_spot,0.34266504645347595,0.275368869304657
1,Pepper__bell___Bacterial_spot,0.2383352816104889,0.21905335783958435
1,Pepper__bell___Bacterial_spot,0.08160055428743362,0.14555144309997559
1,Pepper__bell___Bacterial_spot,0.40860113501548767,0.30405381321907043
1,Pepper__bell___Bacterial_spot,0.17545045912265778,0.11297290772199631
1,Pepper__bell___Bacterial_spot,0.4236891567707062,0.29505178332328796
1,Pepper__bell___Bacterial_spot,0.13895010948181152,0.1056203842163086
1,Pepper__bell___Bacterial_spot,0.28729867935180664,0.2746342122554779
1,Pepper__bell___Bacterial_spot,0.23478886485099792,0.20204244554042816
1,Pepper__bell___Bacterial_spot,0.2634164094924927,0.21629613637924194
1,Pepper__bell___Bacterial_spot,0.18212325870990753,0.22079238295555115
1,Pepper__bell___Bacterial_spot,0.5418328046798706,0.5775184035301208
1,Pepper__bell___Bacterial_spot,0.23237387835979462,0.2031935602426529
1,Pepper__bell___Bacterial_spot,0.2048010677099228,0.19387882947921753
1,Pepper__bell___Bacterial_spot,0.1858961135149002,0.18848246335983276
1,Pepper__bell___Bacterial_spot,0.23237943649291992,0.21379178762435913
1,Pepper__bell___Bacterial_spot,0.21819056570529938,0.18250733613967896
1,Pepper__bell___Bacterial_spot,0.24162305891513824,0.2838766574859619
1,Pepper__bell___Bacterial_spot,0.1833718866109848,0.21119572222232819
1,Pepper__bell___Bacterial_spot,0.2963945269584656,0.24989914894104004
1,Pepper__bell___Bacterial_spot,0.1766512393951416,0.17020469903945923
1,Pepper__bell___Bacterial_spot,0.296580970287323,0.33877378702163696
1,Pepper__bell___Bacterial_spot,0.24448740482330322,0.26495689153671265
1,Pepper__bell___Bacterial_spot,0.19982749223709106,0.1260099560022354
1,Pepper__bell___Bacterial_spot,0.2017248570919037,0.1911606639623642
1,Pepper__bell___Bacterial_spot,0.2259238362312317,0.21441318094730377
1,Pepper__bell___Bacterial_spot,0.20586632192134857,0.22944395244121552
1,Pepper__bell___Bacterial_spot,0.1605226993560791,0.15126949548721313
1,Pepper__bell___Bacterial_spot,0.2156556099653244,0.18736974895000458
1,Pepper__bell___Bacterial_spot,0.1601831465959549,0.13483622670173645
1,Pepper__bell___Bacterial_spot,0.33287402987480164,0.1819496601819992
1,Pepper__bell___Bacterial_spot,0.23569592833518982,0.17192257940769196
1,Pepper__bell___Bacterial_spot,0.2550748586654663,0.3318241238594055
1,Pepper__bell___Bacterial_spot,0.1435084044933319,0.07467608898878098
1,Pepper__bell___Bacterial_spot,0.16330072283744812,0.1950671374797821
1,Pepper__bell___Bacterial_spot,0.29756540060043335,0.21951685845851898
1,Pepper__bell___Bacterial_spot,0.23339764773845673,0.23095886409282684
1,Pepper__bell___Bacterial_spot,0.25064927339553833,0.15196949243545532
1,Pepper__bell___Bacterial_spot,0.22978995740413666,0.2485545575618744
1,Pepper__bell___Bacterial_spot,0.35797449946403503,0.24833732843399048
1,Pepper__bell___Bacterial_spot,0.3354722559452057,0.2597912549972534
1,Pepper__bell___Bacterial_spot,0.2424333095550537,0.19305294752120972
1,Pepper__bell___Bacterial_spot,0.3831709921360016,0.36451467871665955
1,Pepper__bell___Bacterial_spot,0.23604761064052582,0.11192147433757782
1,Pepper__bell___Bacterial_spot,0.2550179958343506,0.30183145403862
1,Pepper__bell___Bacterial_spot,0.21651645004749298,0.1510358452796936
1,Pepper__bell___Bacterial_spot,0.10017557442188263,0.09989722818136215
1,Pepper__bell___Bacterial_spot,0.1509244292974472,0.22855228185653687
1,Pepper__bell___Bacterial_spot,0.15577274560928345,0.1655927449464798
1,Pepper__bell___Bacterial_spot,0.16163809597492218,0.1935153305530548
1,Pepper__bell___Bacterial_spot,0.2960510849952698,0.3008546829223633
1,Pepper__bell___Bacterial_spot,0.14875197410583496,0.1810225248336792
1,Pepper__bell___Bacterial_spot,0.2361895889043808,0.27241042256355286
1,Pepper__bell___Bacterial_spot,0.11202547699213028,0.14229628443717957
1,Pepper__bell___Bacterial_spot,0.2285219430923462,0.1933595836162567
1,Pepper__bell___Bacterial_spot,0.24354176223278046,0.19738070666790009
1,Pepper__bell___Bacterial_spot,0.18846671283245087,0.17700500786304474
1,Pepper__bell___Bacterial_spot,0.2007729858160019,0.18280918896198273
1,Pepper__bell___Bacterial_spot,0.19609877467155457,0.16276705265045166
1,Pepper__bell___Bacterial_spot,0.31371036171913147,0.2779535949230194
1,Pepper__bell___Bacterial_spot,0.21625898778438568,0.17451460659503937
1,Pepper__bell___Bacterial_spot,0.29052814841270447,0.2556203305721283
1,Pepper__bell___Bacterial_spot,0.18609657883644104,0.19378985464572906
1,Pepper__bell___Bacterial_spot,0.451509028673172,0.40219423174858093
1,Pepper__bell___Bacterial_spot,0.20225438475608826,0.14094726741313934
1,Pepper__bell___Bacterial_spot,0.23494544625282288,0.13957709074020386
1,Pepper__bell___Bacterial_spot,0.1853225827217102,0.09878066182136536
1,Pepper__bell___Bacterial_spot,0.22361807525157928,0.16266342997550964
1,Pepper__bell___Bacterial_spot,0.23747371137142181,0.24626155197620392
1,Pepper__bell___Bacterial_spot,0.2269507348537445,0.13932394981384277
1,Pepper__bell___Bacterial_spot,0.1757298856973648,0.19499024748802185
1,Pepper__bell___Bacterial_spot,0.2705463171005249,0.280571311712265
1,Pepper__bell___Bacterial_spot,0.16540727019309998,0.07589444518089294
1,Pepper__bell___Bacterial_spot,0.3596133291721344,0.2521428167819977
1,Pepper__bell___Bacterial_spot,0.2595501244068146,0.2475213259458542
1,Pepper__bell___Bacterial_spot,0.25061526894569397,0.19537580013275146
1,Pepper__bell___Bacterial_spot,0.3003707230091095,0.20826156437397003
1,Pepper__bell___Bacterial_spot,0.22939909994602203,0.19645386934280396
1,Pepper__bell___Bacterial_spot,0.1852269023656845,0.21755433082580566
1,Pepper__bell___Bacterial_spot,0.21716542541980743,0.13475258648395538
1,Pepper__bell___Bacterial_spot,0.22068756818771362,0.1889856457710266
1,Pepper__bell___Bacterial_spot,0.27202484011650085,0.22984659671783447
1,Pepper__bell___Bacterial_spot,0.22778460383415222,0.2737848162651062
1,Pepper__bell___Bacterial_spot,0.2657068073749542,0.3027321994304657
1,Pepper__bell___Bacterial_spot,0.37597668170928955,0.34289446473121643
1,Pepper__bell___Bacterial_spot,0.32632753252983093,0.31407982110977173
1,Pepper__bell___Bacterial_spot,0.4727662205696106,0.5118451118469238
1,Pepper__bell___Bacterial_spot,0.30715692043304443,0.25342056155204773
1,Pepper__bell___Bacterial_spot,0.5262579917907715,0.43112874031066895
1,Pepper__bell___Bacterial_spot,0.3126291334629059,0.2819746732711792
1,Pepper__bell___Bacterial_spot,0.20658785104751587,0.11897154897451401
1,Pepper__bell___Bacterial_spot,0.14787322282791138,0.11133167147636414
1,Pepper__bell___Bacterial_spot,0.4072244167327881,0.381939172744751
1,Pepper__bell___Bacterial_spot,0.183743417263031,0.13014855980873108
1,Pepper__bell___Bacterial_spot,0.21643251180648804,0.23228435218334198
